Name	Id	Birth Date	Birth Place	Age	Height	Nationality	Position	Foot	Joined	Contract Length	img
Seung dae kim	260183	None	Pohang	29	1,76 m	Korea, South	Centre-Forward	None	Jan 10, 2020	31.12.2020	https://tmssl.akamaized.net/images/portrait/header/260183-1588755392.jpg?lm=1588755407
Takahiro kunimoto	296782	None	Kitakyushu, Fukuoka	22	1,72 m	Japan	Central Midfield	None	Jan 9, 2020	-	https://tmssl.akamaized.net/images/portrait/header/296782-1584689163.jpg?lm=1584689171
Gue sung jo	652537	None	None	22	1,88 m	Korea, South	Centre-Forward	None	Jan 29, 2020	-	https://tmssl.akamaized.net/images/portrait/header/652537-1584689062.jpg?lm=1584689074
Lars veldwijk	175912	None	Uithoorn	28	1,96 m	South Africa	Centre-Forward	None	Jan 15, 2020	31.12.2021	https://tmssl.akamaized.net/images/portrait/header/175912-1584688998.jpg?lm=1584689026
Kyung won kwon	260189	None	Seoul	28	1,88 m	Korea, South	Centre-Back	None	Dec 23, 2019	31.12.2021	https://tmssl.akamaized.net/images/portrait/header/260189-1523621695.jpg?lm=1523621710
Murilo henrique	333857	None	Jataí	25	1,77 m	Brazil	Attacking Midfield	None	Feb 4, 2020	-	https://tmssl.akamaized.net/images/portrait/header/333857-1584689041.jpg?lm=1584689049
Hee won choi	630166	None	None	21	1,85 m	Korea, South	None	None	Jan 1, 2020	-	https://tmssl.akamaized.net/images/portrait/header/630166-1584688848.jpg?lm=1584688864
Ja ryong koo	263835	None	Wanju, Jeollabuk	28	1,84 m	Korea, South	Centre-Back	None	Jan 6, 2020	-	https://tmssl.akamaized.net/images/portrait/header/263835-1584689140.jpg?lm=1584689150
Jung ho hong	126638	None	Jeju City, Jeju	30	1,86 m	Korea, South	Centre-Back	None	Jan 13, 2020	-	https://tmssl.akamaized.net/images/portrait/header/126638-1584689427.jpg?lm=1584689437
Bo kyung kim	128375	None	Gurye, Jeollanam	30	1,78 m	Korea, South	Attacking Midfield	None	Jan 5, 2020	-	https://tmssl.akamaized.net/images/portrait/header/128375-1584689092.jpg?lm=1584689101
Ban suk oh	221889	None	Gwacheon, Gyeonggi	32	1,89 m	Korea, South	Centre-Back	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/221889-1584688876.jpg?lm=1584688889
Soo bin lee	641646	None	None	20	1,80 m	Korea, South	Defensive Midfield	None	Jan 8, 2020	31.12.2020	https://tmssl.akamaized.net/images/portrait/header/641646-1584689585.jpg?lm=1584689592
Samuel	214096	None	São Borja	29	1,86 m	Brazil	Centre-Forward	None	Jan 12, 2020	30.06.2020	https://tmssl.akamaized.net//bilder/spielerfotos/s_214096_2462_2012_1.jpg?lm=0
Tiago alves	177011	None	São João do ...	27	1,81 m	Brazil	Left Winger	None	Jan 17, 2020	31.01.2021	https://tmssl.akamaized.net//bilder/spielerfotos/s_177011_2863_2012_2.jpg?lm=0
Keun ho lee	292261	None	None	24	1,85 m	Korea, South	Centre-Forward	None	Jan 16, 2020	23.06.2021	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Yun ho jang	379443	None	None	23	1,78 m	Korea, South	Defensive Midfield	None	Jan 1, 2015	-	https://tmssl.akamaized.net/images/portrait/header/379443-1567281436.jpg?lm=1567281933
Yeong chan kim	260185	None	Suwon	26	1,89 m	Korea, South	Centre-Back	None	Jan 15, 2020	-	https://tmssl.akamaized.net/images/portrait/header/379443-1567281436.jpg?lm=1567281933
Moo yol go	181669	None	Yeonje District, ...	29	1,85 m	Korea, South	Centre-Forward	None	Jan 5, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Jun jae myeong	426123	None	None	25	1,74 m	Korea, South	Left Winger	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/426123-1589994554.jpg?lm=1589994647
Won jae park	503486	None	Pohang, Gyeongbuk	26	1,75 m	Korea, South	Left-Back	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/503486-1589998953.jpg?lm=1589998998
Si heon lee	645848	None	None	22	1,77 m	Korea, South	Attacking Midfield	None	Jan 4, 2019	-	https://tmssl.akamaized.net/images/portrait/header/645848-1584689605.jpg?lm=1584689611
Ji hyeok yun	557241	None	None	22	1,89 m	Korea, South	Centre-Back	None	Jan 1, 2018	-	https://tmssl.akamaized.net/images/portrait/header/557241-1584689314.jpg?lm=1584689331
Se jin myeong	742931	None	None	None	None	None	None	None	None	None	https://tmssl.akamaized.net/images/portrait/header/742931-1584689474.jpg?lm=1584689482
Ricardo lopes	375226	None	Nova Rosalândia	29	1,84 m	Brazil	Left Winger	None	Feb 6, 2020	31.12.2022	https://tmssl.akamaized.net/images/portrait/header/375226-1580986358.jpg?lm=1580986407
Shin wook kim	152689	None	Gwacheon, Gyeonggi	32	1,97 m	Korea, South	Centre-Forward	None	Jul 8, 2019	31.12.2021	https://tmssl.akamaized.net/images/portrait/header/152689-1567279962.jpg?lm=1567279973
Seung min yu	402159	None	None	21	1,81 m	Korea, South	Right Midfield	None	Feb 1, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Bernie ibini isei	140205	None	Port Harcourt	27	1,87 m	Australia	Right Winger	None	Feb 24, 2020	30.06.2020	https://tmssl.akamaized.net/images/portrait/header/140205-1521279307.jpg?lm=1521279329
Sun young lim	180590	None	None	32	1,85 m	Korea, South	Attacking Midfield	None	Jan 15, 2020	-	https://tmssl.akamaized.net/images/portrait/header/180590-1585247859.jpg?lm=1585247870
Eun sik lee	643931	None	None	20	1,76 m	Korea, South	Right-Back	None	None	None	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Jae hyeong lee	503487	None	None	22	1,90 m	Korea, South	Goalkeeper	None	None	None	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Seon min moon	225342	None	Seoul	27	1,72 m	Korea, South	Left Winger	None	Jan 16, 2020	06.07.2021	https://tmssl.akamaized.net/images/portrait/header/225342-1528790292.jpg?lm=1528790302
Seung gyu han	486598	None	None	23	1,73 m	Korea, South	Left Midfield	None	Jan 30, 2020	-	https://tmssl.akamaized.net/images/portrait/header/486598-1584688500.jpg?lm=1584688505
Yeong jun choi	184582	None	Jinju, Gyeongnam	28	1,81 m	Korea, South	Defensive Midfield	None	Jul 26, 2019	-	https://tmssl.akamaized.net/images/portrait/header/184582-1567280276.jpg?lm=1567280297
Ho yeong jeong	557242	None	None	23	1,80 m	Korea, South	Attacking Midfield	None	None	None	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Adriano	147841	None	Valença	32	1,72 m	Brazil	Centre-Forward	None	Feb 4, 2020	31.12.2020	https://tmssl.akamaized.net/images/portrait/header/147841-1584688585.jpg?lm=1584688590
Hyung min shin	90802	None	None	33	1,82 m	Korea, South	Defensive Midfield	None	None	None	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Björn johnsen	250686	None	New York City, New ...	28	1,95 m	Norway	Centre-Forward	None	Jan 6, 2020	31.12.2022	https://tmssl.akamaized.net/images/portrait/header/250686-1585390520.jpg?lm=1585390542
Hyun taek cho	677469	None	None	18	1,80 m	Korea, South	Left-Back	None	Jan 10, 2020	-	https://tmssl.akamaized.net/images/portrait/header/677469-1585390722.jpg?lm=1585390840
Bit garam yoon	163990	None	Changwon, Gyeongnam	30	1,78 m	Korea, South	Central Midfield	None	Jan 31, 2020	-	https://tmssl.akamaized.net/images/portrait/header/163990-1585390266.jpg?lm=1585390278
Ju hwan seo	715720	None	None	20	1,90 m	Korea, South	Goalkeeper	None	Jan 8, 2020	-	https://tmssl.akamaized.net/images/portrait/header/715720-1585390680.jpg?lm=1585390694
Jae won jang	402147	None	None	22	1,78 m	Korea, South	Central Midfield	None	Jan 9, 2020	-	https://tmssl.akamaized.net/images/portrait/header/402147-1585390948.jpg?lm=1585390965
Sang min lee	715958	None	None	20	1,80 m	Korea, South	None	None	Jan 9, 2020	-	https://tmssl.akamaized.net/images/portrait/header/715958-1585417353.JPG?lm=1585417368
Hyun woo jo	260171	None	Seoul	28	1,89 m	Korea, South	Goalkeeper	None	Jan 20, 2020	-	https://tmssl.akamaized.net/images/portrait/header/260171-1528789975.jpg?lm=1528789988
Seung hyun jung	379438	None	None	26	1,88 m	Korea, South	Centre-Back	None	Jan 3, 2020	-	https://tmssl.akamaized.net/images/portrait/header/379438-1589992789.jpg?lm=1589992782
Jun choi	630167	None	None	21	1,77 m	Korea, South	Left-Back	None	Jan 8, 2020	-	https://tmssl.akamaized.net/images/portrait/header/630167-1585391041.jpg?lm=1585391054
Jae seong kim	630169	None	None	20	1,80 m	Korea, South	Right-Back	None	Jan 9, 2020	-	https://tmssl.akamaized.net/images/portrait/header/630169-1585417473.JPG?lm=1585417491
Min jun kim	676363	None	None	20	1,83 m	Korea, South	None	None	Jan 9, 2020	-	https://tmssl.akamaized.net/images/portrait/header/676363-1585390355.jpg?lm=1585390365
Gi un lee	721726	None	None	23	1,91 m	Korea, South	Centre-Forward	None	Jan 10, 2020	-	https://tmssl.akamaized.net/images/portrait/header/721726-1585391136.jpg?lm=1585391144
Kee hee kim	180579	None	Busan	30	1,87 m	Korea, South	Centre-Back	None	Feb 25, 2020	-	https://tmssl.akamaized.net/images/portrait/header/180579-1550164602.jpg?lm=1550164620
Young woo seol	639414	None	None	21	1,81 m	Korea, South	Right Winger	None	Jan 8, 2020	-	https://tmssl.akamaized.net/images/portrait/header/639414-1585391161.jpg?lm=1585391170
Hyeong kyeong lee	676396	None	None	22	1,94 m	Korea, South	Centre-Forward	None	Jan 9, 2020	-	https://tmssl.akamaized.net/images/portrait/header/676396-1585390986.jpg?lm=1585390997
Jason davidson	137669	None	Melbourne	28	1,80 m	Australia	Left-Back	None	Jul 1, 2019	30.06.2021	https://tmssl.akamaized.net/images/portrait/header/137669-1585390065.jpg?lm=1585390077
Chung yong lee	81801	None	Seoul	31	1,80 m	Korea, South	Right Winger	None	Mar 3, 2020	31.12.2022	https://tmssl.akamaized.net/images/portrait/header/81801-1564653716.jpg?lm=1564653741
Seung gyu kim	92076	None	Ulsan	29	1,87 m	Korea, South	Goalkeeper	None	Jan 10, 2020	31.01.2021	https://tmssl.akamaized.net/images/portrait/header/92076-1523622353.jpg?lm=1523622378
Du jae won	429696	None	None	None	None	None	None	None	None	None	https://tmssl.akamaized.net/images/portrait/header/429696-1585390414.jpg?lm=1585390446
Hoon sung jeong	284105	None	Anyang	26	1,72 m	Korea, South	Right Winger	None	Jan 7, 2020	-	https://tmssl.akamaized.net/images/portrait/header/284105-1585391018.jpg?lm=1585391027
Kyu hyeong kim	558084	None	None	21	1,68 m	Korea, South	Attacking Midfield	None	Jan 31, 2020	15.06.2024	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Tae hyeon kim	645847	None	None	19	1,86 m	Korea, South	Centre-Back	None	Jan 31, 2020	-	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Dong hwan min	639119	None	None	19	1,88 m	Korea, South	Goalkeeper	None	Jan 8, 2020	-	https://tmssl.akamaized.net/images/portrait/header/639119-1585391210.jpg?lm=1585391224
Jong ho lee	132533	None	Suncheon, Jeonnam	28	1,80 m	Korea, South	Centre-Forward	None	Jan 9, 2020	-	https://tmssl.akamaized.net//bilder/spielerfotos/s_132533_6503_2013_04_16_1.jpg?lm=0
Se hun oh	402167	None	Ulsan	21	1,93 m	Korea, South	Centre-Forward	None	Dec 9, 2019	23.06.2021	https://tmssl.akamaized.net/images/portrait/header/402167-1559810000.png?lm=1559810044
Geon ung kim	429730	None	None	22	1,88 m	Korea, South	Defensive Midfield	None	Jan 13, 2020	-	https://tmssl.akamaized.net/images/portrait/header/429730-1589995702.JPG?lm=1589995779
Sang min lee	402142	None	None	22	1,88 m	Korea, South	Centre-Back	None	Jan 29, 2020	-	https://tmssl.akamaized.net/images/portrait/header/402142-1446112531.jpg?lm=1446112581
Ji hoon lee	507535	None	Ulsan	26	1,76 m	Korea, South	Right-Back	None	Jan 15, 2020	-	https://tmssl.akamaized.net/images/portrait/header/507535-1589996013.JPG?lm=1589996102
Jae hwan hwang	639244	None	None	None	None	None	None	None	None	None	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
Hyeon uh kim	561403	None	None	21	1,83 m	Korea, South	Centre-Back	None	Jan 31, 2020	15.06.2024	https://tmssl.akamaized.net/images/portrait/header/default.jpg?lm=1455618221
